1,GND,GTH_DP2_C2M_P,GND,GTH_DP1_C2M_P
2,GND,GTH_DP2_C2M_N,GND,GTH_DP1_C2M_N
3,GTH_DP3_C2M_P,GND,GTH_REFCLK0_C2M_P,GND
4,GTH_DP3_C2M_N,GND,GTH_REFCLK0_C2M_N,GND
5,GND,GTH_DP2_M2C_P,GND,GTH_DP3_M2C_P
6,GND,GTH_DP2_M2C_N,GND,GTH_DP3_M2C_N
7,GTH_REFCLK1_C2M_P,GND,GTH_DP1_M2C_P,GND
8,GTH_REFCLK1_C2M_N,GND,GTH_DP1_M2C_N,GND
9,GND,GTH_DP0_C2M_P,GND,GTH_DP0_M2C_P
10,GND,GTH_DP0_C2M_N,GND,GTH_DP0_M2C_N
11,HPB15_CC_P,GND,HPB09_P,GND
12,HPB15_CC_N,HPB10_CC_P,HPB09_N,HPB01_P
13,GND,HPB10_CC_N,GND,HPB01_N
14,HPB08_P,GND,HPB14_P,GND
15,HPB08_N,HPB07_P,HPB14_N,HPB00_CC_P
16,GND,HPB07_N,GND,HPB00_CC_N
17,HPB12_P,GND,HPB02_P,GND
18,HPB12_N,HPB05_CC_P,HPB02_N,HPB_CLK0_P
19,GND,HPB05_CC_N,GND,HPB_CLK0_N
20,HPB06_P,GND,HPB13_P,GND
21,HPB06_N,HPB11_P,HPB13_N,HPB04_P
22,GND,HPB11_N,GND,HPB04_N
23,HPB16_P,GND,HPB_18_P,GND
24,HPB16_N,HPB03_P,HPB_18_N,HPB17_P
25,GND,HPB03_N,GND,HPB17_N
26,HPB_19_P,GND,HPC07_P,GND
27,HPB_19_N,HPC06_P,HPC07_N,HPC09_P
28,GND,HPC06_N,GND,HPC09_N
29,HPC17_P,GND,HPC05_CC_P,GND
30,HPC17_N,HPC13_P,HPC05_CC_N,HPC01_P
31,GND,HPC13_N,GND,HPC01_N
32,HPC19_P,GND,HPC08_P,GND
33,HPC19_N,HPC16_P,HPC08_N,HPC00_CC_P
34,GND,HPC16_N,GND,HPC00_CC_N
35,HPC14_P,GND,HPC11_P,GND
36,HPC14_N,HPC10_CC_P,HPC11_N,HPC02_P
37,GND,HPC10_CC_N,GND,HPC02_N
38,HPC15_CC_P,GND,HPC12_P,GND
39,HPC15_CC_N,HPC18_P,HPC12_N,HPC04_P
40,GND,HPC18_N,GND,HPC04_N
41,HPC03_P,GND,HPC_CLK0_P,GND
42,HPC03_N,VCCO_HPB,HPC_CLK0_N,VCCO_HPC
43,GND,GND,GND,GND
44,VCCO_HPB,HDB12,VCCO_HPC,HDB00_CC
45,GND,HDB13,GND,HDB01
46,HDB18,HDB14,HDB06,HDB02
47,HDB19,GND,HDB07,GND
48,HDB20,HDB15,HDB08_CC,HDB03
49,GND,HDB16_CC,GND,HDB04
50,HDB21,HDB17,HDB09,HDB05
51,HDB22,GND,HDB10,GND
52,HDB23,HDC12,HDB11,HDC00_CC
53,GND,HDC13,GND,HDC01
54,HDC18,HDC14,HDC06,HDC02
55,HDC19,GND,HDC07,GND
56,HDC20,HDC15,HDC08_CC,HDC03
57,GND,HDC16_CC,GND,HDC04
58,HDC21,HDC17,HDC09,HDC05
59,HDC22,VCCO_HDB,HDC10,VCCO_HDC
60,HDC23,VCCO_HDB,HDC11,VCCO_HDC
